Job title,Company,Deadline,Location
Ընդունարանի աշխատակից,Digitain,04 May 2024,Yerevan
Design Engineer,EcoVille LLC,04 May 2024,Yerevan
Junior Analyst,Autofan AC LLC,04 May 2024,Yerevan
Հաշվապահ,SoftConstruct,04 May 2024,Yerevan
Վարկային մասնագետ Էջմիածին մասնաճյուղում,AREGAK UCO CJSC,22 April 2024,Vagharshapat
Սպառողական վարկավորման մասնագետ Էջմիածին մասնաճյուղում,AREGAK UCO CJSC,22 April 2024,Vagharshapat
Romanian Translator,Digitain,04 May 2024,Yerevan
Ոսկերիչ գնահատող Էջմիածին մասնաճյուղում,AREGAK UCO CJSC,04 May 2024,Vagharshapat
Junior QA Engineer (all genders) - iOS/macOS Automation,TeamViewer Armenia,04 May 2024,Yerevan
Korean Translator,Digitain,04 May 2024,Yerevan
Client Service Officer,Merit Media,04 May 2024,Yerevan
Ֆինանսիստ,Maisich Group,04 May 2024,Yerevan
Technical Caption Writer,Wirestock,04 May 2024,Yerevan
Agile Coach,Ameriabank CJSC,15 April 2024,Yerevan
GoNative Engineer,Ucraft,04 May 2024,Yerevan
Customer support specialist | French/English,iBooben Development,04 May 2024,Yerevan
Turkish-Speaking Customer support specialist,iBooben Development,04 May 2024,Yerevan
Վաճառքի և սպասարկման կենտրոնի մասնագետ Երևան  քաղաքում,"""Telecom Armenia"" OJSC",04 May 2024,Yerevan
English Teacher,Հայաստանում Եվրոպական Վարժարան հիմնադրամ,04 May 2024,Yerevan
Գրասենյակի օգնական Աբովյանի մասնաճյուղում,AREGAK UCO CJSC,21 April 2024,Abovyan
Assistant to the CEO,SoftLand LLC,04 May 2024,Yerevan
Treasury Officer,Byblos Bank Armenia CJSC,04 May 2024,Yerevan
Senior Internal Auditor,FastBank CJSC,19 April 2024,Yerevan
lawyer,Էլ Էլ Քընսալթինգ ՓԲԸ,30 April 2024,Yerevan
Group Accounting and Reporting Senior Specialist,SoftConstruct,26 April 2024,Yerevan
Staff Analog Design Engineer / 48218BR,Synopsys Armenia,04 May 2024,Yerevan
Staff Analog Design Engineer / 48216BR,Synopsys Armenia,04 May 2024,Yerevan
